Trade Date,RIC,Ticker,Universal Close Price,VWAP,Volume
21/03/2024,QQQ.N,QQQ,445.8,447.6347,"884,838"
22/03/2024,QQQ.N,QQQ,446.18,446.2129,"636,211"
25/03/2024,QQQ.N,QQQ,444.805,444.881,"624,839"
26/03/2024,QQQ.N,QQQ,443.33,445.4064,"737,154"
27/03/2024,QQQ.N,QQQ,444.94,443.4729,"861,916"
28/03/2024,QQQ.N,QQQ,443.94,444.5784,"745,423"
29/03/2024,QQQ.N,QQQ,"-9,999,402","-9,999,402","-9,999,402"
01/04/2024,QQQ.N,QQQ,444.97,445.0055,"810,192"
02/04/2024,QQQ.N,QQQ,441.13,439.6708,"1,094,567"
03/04/2024,QQQ.N,QQQ,442.08,442.4992,"883,853"
04/04/2024,QQQ.N,QQQ,435.285,441.0471,"1,371,726"
05/04/2024,QQQ.N,QQQ,440.54,440.3263,"1,303,588"
08/04/2024,QQQ.N,QQQ,440.57,440.8265,"445,860"
09/04/2024,QQQ.N,QQQ,442.24,440.2472,"917,401"
10/04/2024,QQQ.N,QQQ,438.32,437.7328,"1,548,751"
11/04/2024,QQQ.N,QQQ,445.49,442.7662,"926,589"
12/04/2024,QQQ.N,QQQ,438.31,439.1144,"1,300,065"
15/04/2024,QQQ.N,QQQ,431,434.5461,"1,433,063"
16/04/2024,QQQ.N,QQQ,431.1,431.4391,"939,445"
17/04/2024,QQQ.N,QQQ,425.77,428.0423,"1,251,009"
18/04/2024,QQQ.N,QQQ,423.39,424.9642,"1,028,594"
19/04/2024,QQQ.N,QQQ,414.77,417.3835,"1,156,862"
22/04/2024,QQQ.N,QQQ,418.85,417.7621,"941,919"
23/04/2024,QQQ.N,QQQ,425.04,424.0109,"814,023"
24/04/2024,QQQ.N,QQQ,426.58,426.8868,"789,955"
25/04/2024,QQQ.N,QQQ,424.44,420.976,"1,259,229"
26/04/2024,QQQ.N,QQQ,431.08,430.4479,"963,035"
29/04/2024,QQQ.N,QQQ,432.83,432.0483,"611,256"
30/04/2024,QQQ.N,QQQ,424.62,428.4695,"824,694"
01/05/2024,QQQ.N,QQQ,421.39,423.572,"1,097,814"
02/05/2024,QQQ.N,QQQ,427.03,425.1329,"701,379"
03/05/2024,QQQ.N,QQQ,435.46,434.8243,"971,103"
06/05/2024,QQQ.N,QQQ,440.33,438.4343,"761,806"
07/05/2024,QQQ.N,QQQ,440.31,440.7948,"786,417"
08/05/2024,QQQ.N,QQQ,440.08,439.7791,"551,077"
09/05/2024,QQQ.N,QQQ,441.04,440.5293,"422,855"
10/05/2024,QQQ.N,QQQ,442.06,442.0819,"536,988"
13/05/2024,QQQ.N,QQQ,443.14,442.8759,"305,605"
