#RIC,Alias Underlying RIC,Domain,Date-Time,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size,Open Mid Price,High Mid Price,Low Mid Price,Close Mid Price
NQc1,NQH25,Market Price,2025-03-19T00:00:00.000000000-05,Intraday 5Sec,,,,,,,19528.25,19530,19528,19529.25,95,19529.5,19531,19529,19530,83,1,3,1,1,2,4,1,1,19528.875,19530.5,19528.5,19529.625
NQc1,NQH25,Market Price,2025-03-19T00:00:05.000000000-05,Intraday 5Sec,19530.25,19530.25,19530.25,19530.25,1,1,19529.25,19530.25,19528.5,19529.25,51,19530,19531.25,19529.5,19530.25,39,2,3,1,2,1,3,1,2,19529.625,19530.625,19529,19529.75
NQc1,NQH25,Market Price,2025-03-19T00:00:10.000000000-05,Intraday 5Sec,,,,,,,19529.25,19530.25,19529.25,19529.25,36,19530.25,19530.75,19530,19530.25,22,1,3,1,1,2,2,1,2,19529.75,19530.5,19529.625,19529.75
NQc1,NQH25,Market Price,2025-03-19T00:00:15.000000000-05,Intraday 5Sec,,,,,,,19529.25,19529.5,19528.5,19529.5,20,19530,19530.25,19529.5,19530.25,20,1,3,1,2,1,4,1,1,19529.625,19529.875,19529,19529.875
NQc1,NQH25,Market Price,2025-03-19T00:00:20.000000000-05,Intraday 5Sec,,,,,,,19529.5,19529.5,19529,19529.5,25,19530.25,19530.25,19530,19530.25,10,1,2,1,2,1,2,1,1,19529.875,19529.875,19529.5,19529.875
NQc1,NQH25,Market Price,2025-03-19T00:00:25.000000000-05,Intraday 5Sec,,,,,,,19529.5,19529.5,19528,19528.75,20,19530.25,19530.25,19529,19529.5,31,1,2,1,1,1,3,1,1,19529.875,19529.875,19528.5,19529.125
NQc1,NQH25,Market Price,2025-03-19T00:00:30.000000000-05,Intraday 5Sec,,,,,,,19528.75,19529,19528.5,19528.5,19,19529.75,19530,19529.5,19529.5,17,1,2,1,2,1,2,1,1,19529.25,19529.5,19529,19529
NQc1,NQH25,Market Price,2025-03-19T00:00:35.000000000-05,Intraday 5Sec,19528.5,19528.5,19528.5,19528.5,1,1,19528.5,19529.75,19528.25,19529.5,18,19529.5,19530.25,19529.25,19530.25,14,1,3,1,2,1,2,1,1,19529,19530,19528.75,19529.875
NQc1,NQH25,Market Price,2025-03-19T00:00:40.000000000-05,Intraday 5Sec,,,,,,,19529.75,19529.75,19528.75,19529.5,35,19530.25,19530.25,19529.5,19530.25,27,1,3,1,2,1,2,1,1,19530,19530,19529.125,19529.875
NQc1,NQH25,Market Price,2025-03-19T00:00:45.000000000-05,Intraday 5Sec,,,,,,,19529.5,19529.5,19529,19529.5,10,19530.25,19530.25,19530,19530.25,6,1,3,1,2,1,2,1,1,19529.875,19529.875,19529.5,19529.875
